asset_id,type,path,scene_id,source_or_prompt,dimensions,sha256_prefix,pii_status,status,notes
RENDER-015,rendered_scene,assets/scenes/scene_015.png,SCENE-015,hybrid_scene_renderer,1920x1080,75a3ce96896fbe39,none,PASS,4桁入力の公式crop。
RENDER-016,rendered_scene,assets/scenes/scene_016.png,SCENE-016,hybrid_scene_renderer,1920x1080,4d7bdea2846c0076,none,PASS,カード読み取りの公式crop。
RENDER-017,rendered_scene,assets/scenes/scene_017.png,SCENE-017,hybrid_scene_renderer,1920x1080,760245eb6c1e9a23,none,PASS,concept image。
RENDER-018,rendered_scene,assets/scenes/scene_018.png,SCENE-018,hybrid_scene_renderer,1920x1080,bd9a80895d3bc698,none,PASS,生体認証の公式crop。
RENDER-019,rendered_scene,assets/scenes/scene_019.png,SCENE-019,hybrid_scene_renderer,1920x1080,6d2210170dc2209f,none,PASS,summary scene。関連動画の一般表現へ修正。
RENDER-020,rendered_scene,assets/scenes/scene_020.png,SCENE-020,hybrid_scene_renderer,1920x1080,9a4f6db501c654dc,none,PASS,contact sheet v2対象。
REVIEW-001,contact_sheet,work/visual_review/scene_contact_sheet_v1.png,,hybrid_scene_renderer,1740x1120,966a3a098b9c800e,none,ARCHIVED,v1の20 scene一覧。
REVIEW-002,contact_sheet,work/visual_review/scene_contact_sheet_v2.png,,hybrid_scene_renderer,1740x1120,7fea94bdb8fec464,none,PASS,v2の20 scene一覧。
REVIEW-003,comparison,work/visual_review/intro_v1_v2_comparison.png,,make_phase15_comparison,1312x2153,7521cf0d3d4d64f1,none,PASS,v1左とv2右の冒頭5 scene比較。
AUDIO-010,narration_audio,audio/voicevox_kenzaki/narration_kenzaki_auto.wav,,voicevox_incremental.py,48kHz WAV,ec150286c8d76a261,none,PASS,剣崎雌雄。41セグメントを連結。最新修正はsegment 038のみ再生成。
AUDIO-CTA-010,cta_audio,audio/voicevox_kenzaki/cta_registration_conversion_v1.wav,,episode-specific CTA override,48kHz WAV,1d21f765f5606310,none,PASS,registration_conversion_v1専用CTA。11.456秒。
CTA-CONFIG-010,cta_config,work/cta_registration_conversion_v1.json,,episode-specific CTA override,JSON,7bb2ff3fced40388,none,PASS,config/channel_cta.jsonは変更せず、Episode 010だけで使用。説明行を110px下げた。
CTA-010,cta_screen,work/cta_registration_conversion_v1.png,,episode-specific CTA override,1920x1080,96efb5195cd7f3d,none,PASS,次に困ったときのために。60px表示。説明行を110px下げ、右側reserved・疑似登録アイコンなし。
CAP-010,captions,captions.srt,,build_subtitle_timeline.py,text,15f93f7e0069c910,none,PASS,VOICEVOX実測タイミング。44キュー。segment 038表示を更新。
CAP-ASS-010,captions_ass,captions.ass,,build_subtitle_timeline.py,text,c9ccebe86b7dc4dd,none,PASS,72px字幕。動画焼き込み用。segment 038表示を更新。
DRAFT-010,draft_video,output/draft_v1.mp4,,phase2_video.py,1920x1080,430ca10380b77bf2,none,PASS,全20scene＋registration_conversion_v1 CTA。v2比較用のbaselineとして保持。
QA-FRAMES-010,qa_contact_sheet,work/qa_frames_draft_v1/contact_sheet.png,,draft_v1 frame extraction,1800x1223,51292f90c3ae945a,none,PASS,代表フレーム21枚。v2比較用baseline。
DRAFT-010-V2,draft_video,output/draft_v2.mp4,,phase2_video.py,1920x1080,89bbde65d864944b,none,PASS,指定修正後のv2。SCENE-019・segment 038・CTA説明行を更新。人間全編視聴承認済み。
QA-FRAMES-010-V2,qa_contact_sheet,work/qa_frames_draft_v2/contact_sheet.png,,draft_v2 frame extraction,1800x1223,bfbcf147a9e7ae23,none,PASS,代表フレーム21枚。SCENE-019とCTA終盤を確認しfinalへ回帰なし。
FINAL-010,final_video,output/final.mp4,,copy_only_finalize,1920x1080,89bbde65d864944b,none,PASS,draft_v2からbyte-identical copy。再エンコードなし。
FINAL-QA-010,final_qa,work/final_qa.json,,final_qa,JSON,5ef60701bf5ced9f,none,PASS,decode・black・silence・audio peak・字幕・visual・CTA・Fact error count 0の最終QA。
DESC-010,publish_description,description.md,,publish metadata,text,5c4d8ae1013fead7,none,PASS,視聴者向け説明文。内部Episode番号なし。
CHAPTERS-010,publish_chapters,chapters.md,,publish metadata,text,a2826f905b8a62d5,none,PASS,final実測タイムラインに合わせた12章。内部scene番号なし。
HUMAN-REVIEW-010,human_approval,work/human_review.json,,human gate,JSON,c083aafb534800cc,none,PASS,draft_v2全編視聴承認、thumbnail human selected、senior_readability PASS。
THUMB-SOURCE-010,thumbnail_source,assets/thumbnail/thumbnail_source.png,,ChatGPT human-provided source,1672x941,68a4f32a8fb27fd6,none,PASS,ユーザー指定の受領原本。内容変更なし。
THUMB-010,thumbnail,assets/thumbnail/thumbnail.png,,thumbnail normalization,1280x720,ffa2a968e3acf41b,none,PASS,原本から比率調整と縮小のみ。指定コピー・人物・説明用ビジュアルを維持。
THUMB-QA-010,thumbnail_qa,work/thumbnail_review/thumbnail_qa.json,,thumbnail QA,JSON,93e4fc88180c7c43,none,PASS,1280x720、2MB以内、clipping0、text omission0、face clipping0、25%可読、内部番号0。
UPLOAD-010,youtube_upload,work/youtube_publish/upload_attempt.json,,publish_youtube.py,rU5jlU7eq3I,RECORDED,none,PASS,privateで2026-09-06 19:00 JSTへ予約。videos.insertは1回、再uploadなし。
AI-DISCLOSURE-010,youtube_ai_disclosure,work/youtube_publish/ai_disclosure_attempt.json,,publish_youtube.py,status-only update,VERIFIED,none,PASS,containsSyntheticMedia=trueをvideos.update responseで検証。video ID不変。
