shot_id,filename,use,notes,status,source_url,organization,captured_at,intended_scene,crop_note
REVIEW-ALIGNMENT-V4,work/visual_review/alignment_before_after.png,Visual Gate v3/v4 整列比較,左=v3・右=v4。SCENE-002;005;007;009;012;015;017。,review,--,--,2026-09-05,SCENE-002;005;007;009;012;015;017,v3-v4 alignment review
QA-V4,work/visual_review/visual_gate_v4_qa.md,Episode 008 Visual Gate v4 QA,visual_axis_alignment・stacked_panel_alignment・section_pill_anchor・repeated_channel_nameを含む。,ready,--,--,2026-09-05,SCENE-ALL,18 OK 0 WARN 0 FAIL
AUDIO-008,audio/voicevox_kenzaki/narration_kenzaki_auto.wav,VOICEVOX本編ナレーション,剣崎雌雄・ノーマル・speed 1.00・実測321.804秒,ready,--,VOICEVOX,2026-09-05,ALL,24000Hz mono WAV
CTA-AUDIO-008,audio/voicevox_kenzaki/cta_channel_common.wav,channel_common_cta音声,剣崎雌雄・canonical hash一致・11.563秒,ready,--,VOICEVOX,2026-09-05,CTA,24000Hz mono WAV
CTA-IMAGE-008,work/channel_cta.png,channel_common_cta画面,右40〜45% reserved・疑似subscribe iconなし・15秒画面,ready,--,--,2026-09-05,CTA,1920x1080 PNG
SUBTITLE-TIMING-008,work/subtitle_cue_timing.json,split cue実時間補助,VOICEVOX audio_query mora duration・文字数按分なし,ready,--,VOICEVOX,2026-09-05,ALL,122 cue measurements
CAPTIONS-008,captions.srt,字幕本体,SRT・ASSを実測audio_timingから生成・最小72px,ready,--,--,2026-09-05,ALL,122 cues
PRON-REVIEW-008,work/phase_b_review/pronunciation/approval.md,発音review,preview12語・context4件PASS・global辞書変更なし,ready,--,VOICEVOX,2026-09-05,ALL,review report
DRAFT-V1,output/draft_v1.mp4,Phase B draft_v1,Visual Gate v5固定・H.264 1920x1080 30fps・AAC 48kHz,ready,--,--,2026-09-05,ALL,336.803秒
QA-FRAMES-V1,work/qa_frames_draft_v1/,draft代表フレーム,18scene＋CTA・contact sheet付き・全編人間視聴待ち,review,--,--,2026-09-05,SCENE-ALL,19 PNGs
AUDIO-008-V2,work/draft_v2/audio/voicevox_kenzaki/narration_kenzaki_auto.wav,Phase B draft_v2本編ナレーション,剣崎雌雄・ノーマル・5segment再生成・58segmentはdraft_v1 WAVを再利用・321.868秒,ready,--,VOICEVOX,2026-09-05,ALL,24000Hz mono WAV
PRON-FIX-V2,work/phase_b_review/pronunciation_fix_v2/pronunciation_fix_v2.json,draft_v1人間レビュー発音修正,信用006/011/059・今だけ031・188052を再生成。0570-050588055はv1音声再利用。,review,--,VOICEVOX,2026-09-05,006;011;031;052;055;059,preview WAV＋audio_query
SUBTITLE-TIMING-008-V2,work/draft_v2/subtitle_cue_timing.json,draft_v2字幕実測タイミング,実測WAV＋audio_query mora duration。0570-050588は公式数字表示。,ready,--,VOICEVOX,2026-09-05,ALL,121 cue measurements
CAPTIONS-008-V2,work/draft_v2/captions.srt,draft_v2字幕本体,SRT・ASSをdraft_v2 timingから生成。0570-050588表示・tts_reading_leakage 0。,ready,--,--,2026-09-05,ALL,121 cues・最小72px
CTA-IMAGE-008-V2,work/channel_cta_v2.png,draft_v2 CTA画面,説明文を56px・3行で全文表示。お届けします。まで表示・右40〜45% reserved・疑似subscribeなし。,ready,--,--,2026-09-05,CTA,1920x1080 PNG
CTA-QA-008-V2,work/draft_v2/cta_full_text_visible_v2.json,draft_v2 CTA QA,cta_full_text_visible PASS・description 56px/3行・CTA 60px/2行・clipping 0。,ready,--,--,2026-09-05,CTA,canonical text complete
DRAFT-V2,output/draft_v2.mp4,Phase B draft_v2,Visual Gate v5固定・H.264 1920x1080 30fps・AAC 48kHz mono・336.870秒,review,--,--,2026-09-05,ALL,draft_v1 human review local fixes
QA-V2,work/draft_v2/phase2_qa.md,draft_v2 Phase 2 QA,FAIL 0・WARN 0・decode/black/silence blocking指摘0・Visual Gate v5 regression 0。,ready,--,--,2026-09-05,ALL,mechanical QA PASS
QA-FRAMES-V2,work/qa_frames_draft_v2/,draft_v2代表フレーム,0:26・2:45・4:32・4:44・CTA 5:27付近・CTA終盤とcontact sheetを保存。人間再確認待ち。,review,--,--,2026-09-05,SCENE-ALL;CTA,6 PNGs＋contact sheet
AUDIO-008-V3,work/draft_v3/audio/voicevox_kenzaki/narration_kenzaki_auto.wav,Phase B draft_v3本編ナレーション,剣崎雌雄・ノーマル・信用3segmentのみ再生成・60segmentはdraft_v2 WAVを再利用・321.868秒,ready,--,VOICEVOX,2026-09-05,ALL,24000Hz mono WAV
PRON-FIX-V3,work/phase_b_review/pronunciation_fix_v3/pronunciation_fix_v3.md,draft_v2人間レビュー信用再修正,seg006/011/059をLOW-HIGH-HIGH-HIGH plateauへ修正。辞書は1 approved entryへ更新。,review,--,VOICEVOX,2026-09-05,006;011;059,manual tuning provenance
AUDIO-QUERY-CREDIT-V3,work/phase_b_review/pronunciation_fix_v3/credit_audio_queries.json,信用3segment audio_query,seg006/011/059のVOICEVOX audio_query抜粋。mora pitchと読みを保存。,ready,--,VOICEVOX,2026-09-05,006;011;059,JSON
PITCH-QA-008-V3,work/phase_b_review/pronunciation_fix_v3/approved_pitch_shape_match.json,信用 pitch shape QA,approved_pitch_shape_match PASS・first low・second rise・later plateau・tolerance 1e-6。,ready,--,VOICEVOX,2026-09-05,006;011;059,3/3 PASS
PITCH-CONTEXT-008-V3,work/phase_b_review/pronunciation_fix_v3/context_queries.json,信用 context query,信用しない・信用する・信用をを確認。信用をのO-O pitch delta 0.0。,ready,--,VOICEVOX,2026-09-05,CONTEXT,3 queries
CAPTIONS-008-V3,work/draft_v3/captions.srt,draft_v3字幕本体,draft_v2のSRT・ASS・timingを完全再利用。subtitle regression 0・0570-050588数字表示維持。,ready,--,--,2026-09-05,ALL,v2 hash equal
CTA-QA-008-V3,work/draft_v3/cta_full_text_visible.json,draft_v3 CTA QA,draft_v2承認済みCTAを再利用。cta_full_text_visible PASS・お届けします。まで表示。,ready,--,--,2026-09-05,CTA,canonical text complete
DRAFT-V3,output/draft_v3.mp4,Phase B draft_v3,Visual Gate v5固定・H.264 1920x1080 30fps・AAC 48kHz mono・336.870秒・人間承認済み,ready,--,--,2026-09-05,ALL,信用 prosody local fix
QA-V3,work/draft_v3/phase2_qa.md,draft_v3 Phase 2 QA,FAIL 0・WARN 0・decode/black/silence blocking指摘0・Visual Gate v5/subtitle regression 0。,ready,--,--,2026-09-05,ALL,mechanical QA PASS
QA-FRAMES-V3,work/qa_frames_draft_v3/,draft_v3代表フレーム,信用約0:26・0:41・4:58・既存修正2:45/4:32/4:44・CTA 5:27付近を保存。人間再確認待ち。,review,--,--,2026-09-05,SCENE-ALL;CTA,6 PNGs＋contact sheet
THUMBNAIL-SOURCE-008,assets/thumbnail/thumbnail_source.png,ユーザー提供thumbnail原本,ChatGPT生成画像・原本保持・SHAはthumbnail QA参照,ready,--,--,2026-09-05,THUMBNAIL,1672x941 RGB
THUMBNAIL-008,assets/thumbnail/thumbnail.png,Episode 008正式thumbnail,人間選択・内容不変更・1280x720へLANCZOS正規化・A/B/Cなし,ready,--,--,2026-09-05,THUMBNAIL,1280x720 RGB
THUMBNAIL-25-008,work/thumbnail_review/thumbnail_25.png,thumbnail 25%確認版,320x180・大見出しと下部メッセージのreadability PASS,ready,--,--,2026-09-05,THUMBNAIL,320x180 RGB
THUMBNAIL-QA-008,work/thumbnail_review/thumbnail_qa.json,Episode 008 thumbnail QA,decode・文字・edge clipping・25%可読性・privacy・QR・実在著名人なしを確認,ready,--,--,2026-09-05,THUMBNAIL,PASS
FINAL-008,output/final.mp4,Episode 008 final, draft_v3からbyte-identical copy・再encodeなし・SHA一致,ready,--,--,2026-09-05,ALL,336.870秒 H.264 1920x1080 AAC48k
FINAL-QA-008,work/final_qa.json,Episode 008 final QA,copy-only・decode error 0・black frame 0・unexpected silence 0・Visual/subtitle regression 0,ready,--,--,2026-09-05,ALL,PASS
PUBLISH-CHECKLIST-008,publish/pre_publish_checklist.md,Episode 008公開前checklist,thumbnail・final・metadata・統計watch・End Screen予定を記録・upload未実施,review,--,--,2026-09-05,ALL,human publish check
METADATA-QA-008,work/metadata_final_check.json,Episode 008 metadata final check,selected title・description source URL・VOICEVOX credit・AI disclosure・privacy・統計watch・End Screen plan,review,--,--,2026-09-05,ALL,PASS with human AI disclosure review
