DRAFT-03,output/draft_v3.mp4,draft_v3,script wording revision; H.264 1920x1080 30fps; AAC 48kHz; draft_v1/v2 preserved
WORK-16,work/draft_v3_qa.md,draft_v3 QA report,decode / black / silence / subtitle / chapter / CTA / Visual Gate v2 regression PASS
WORK-17,work/phase_b_review/ambiguous_kanji_pronunciation_v3_canonical.md,canonical ambiguous_kanji_pronunciation preflight,52 narration segments scanned; global 方 entry absent; non-target occurrences documented
WORK-18,work/phase_b_review/ambiguous_kanji_pronunciation_v3_final_approval.md,final pronunciation approval,human full-watch approved remaining 2 方 occurrences; unresolved 0; no global dictionary entry
WORK-19,work/fact_watch_final.md,Microsoft official final fact watch,24H2 2026-10-13 / 25H2 / 26H1 reconfirmed; no script change
FINAL-01,output/final.mp4,final video,draft_v3 byte-identical copy; H.264 1920x1080 30fps; AAC 48kHz; SHA-256 recorded in work/final_qa.json
WORK-20,work/final_qa.md,final QA,all required final gates PASS; decode/black/silence/visual/subtitle/privacy/CTA/pronunciation/fact checks clear
WORK-21,work/thumbnail_brief.md,thumbnail brief,brief retained; user-provided thumbnail formally adopted; no image generation
WORK-22,work/analytics_plan.md,analytics plan,Episode 002 / 008 comparison and KPI plan
WORK-23,work/pre_publish_checklist.md,pre-publish checklist,thumbnail QA and scheduled publication recorded; End Screen remains manual
THUMB-01,assets/thumbnail/thumbnail_source.png,user-provided thumbnail source,HUMAN_SELECTED; SHA-256 B18F7307AE11D6722FAF8090406A9E006FE427A7AB91AB5012172BC9D2D0D8C6; 1672x941 original preserved
THUMB-02,assets/thumbnail/thumbnail.png,normalized publication thumbnail,HUMAN_SELECTED; 1280x720 16:9; SHA-256 8F264D1A0095D64F51B9D22B8B32422A849D60AFFDA451A3CDCA7043F10B76DC; thumbnails.set PASS
WORK-24,work/thumbnail_review/thumbnail_25.png,25 percent thumbnail review,320x180; main copy readable; SHA-256 3F8AF9FCA649B469BDB29858121F4EBEDEDCD49138368F0356F92CC8C326192A
WORK-25,work/thumbnail_review/thumbnail_qa.json,thumbnail QA,decode/text/edge/important text/25 percent/fact boundary/privacy PASS
PUB-01,work/youtube_publish/upload_attempt.json,YouTube scheduled upload,video NO4ZwXPvgA0; private; publishAt 2026-09-09T10:00:00Z; thumbnail uploaded; verification PASS
PUB-02,work/youtube_publish/youtube_upload_log.md,YouTube upload log,channel UCgVRceTJYO5KOrPX4w2jXZw; scheduled upload; verification PASS
